Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR
462;4;ESO;C;143;1;12;6;4.5;1.5500000000000007
462;4;ESO;C;143;2;12;9;3.0;3.650000000000002
462;4;ESO;C;143;3;13;2;5.0;1.0
67;1;BAC;C;213;1;10;10;3.0;1.1000000000000005
67;1;BAC;C;213;2;10;10;0.0;0.05000000000000071
67;1;BAC;C;213;3;10;10;0.0;0.05000000000000071
193;1;ESO;A;111;1;11;3;5.0;1.7999999999999998
193;1;ESO;A;111;2;11;3;5.0;0.7999999999999998
193;1;ESO;A;111;3;11;0;6.0;1.6000000000000005
179;1;ESO;A;111;1;11;1;6.0;1.0
179;1;ESO;A;111;2;11;3;6.0;1.7999999999999998
179;1;ESO;A;111;3;11;1;6.0;1.0
37;1;BAC;B;212;1;11;4;5.0;2.0
37;1;BAC;B;212;2;11;2;5.0;1.0
37;1;BAC;B;212;3;11;1;6.0;2.0
477;4;ESO;D;144;1;8;1;5.5;2.55
477;4;ESO;D;144;2;8;1;7.0;3.0
477;4;ESO;D;144;3;8;0;7.0;2.0
51;1;BAC;C;213;1;10;1;6.5;2.0
51;1;BAC;C;213;2;10;0;8.0;2.0500000000000007
51;1;BAC;C;213;3;10;0;7.5;2.0500000000000007
259;2;ESO;A;121;1;12;4;5.0;2.1000000000000005
259;2;ESO;A;121;2;12;2;5.0;2.0
259;2;ESO;A;121;3;12;3;5.0;1.5499999999999998
206;1;ESO;B;112;1;11;0;7.0;0.0
206;1;ESO;B;112;2;11;2;6.0;2.4000000000000012
206;1;ESO;B;112;3;11;0;6.0;1.0
472;4;ESO;C;143;1;12;0;7.0;2.5500000000000007
472;4;ESO;C;143;2;12;0;6.0;2.1000000000000005
472;4;ESO;C;143;3;12;0;7.0;1.5499999999999998
269;2;ESO;A;121;1;12;3;5.5;2.1000000000000005
269;2;ESO;A;121;2;12;4;5.0;1.5500000000000007
269;2;ESO;A;121;3;12;1;5.0;1.0
420;4;ESO;A;141;1;12;0;6.5;2.55
420;4;ESO;A;141;2;12;0;7.0;1.5499999999999998
420;4;ESO;A;141;3;12;0;7.0;2.55
285;2;ESO;B;122;1;11;5;5.0;1.7999999999999998
285;2;ESO;B;122;2;11;4;5.0;1.0
285;2;ESO;B;122;3;12;3;5.0;0.5499999999999998
230;1;ESO;C;113;1;11;0;9.0;1.7999999999999998
230;1;ESO;C;113;2;11;0;9.0;0.8000000000000007
230;1;ESO;C;113;3;11;0;9.0;1.0
190;1;ESO;A;111;1;11;1;6.0;1.7999999999999998
190;1;ESO;A;111;2;11;1;6.0;0.7999999999999998
190;1;ESO;A;111;3;11;0;6.0;0.7999999999999998
209;1;ESO;B;112;1;11;1;6.0;0.7999999999999998
209;1;ESO;B;112;2;11;0;5.0;1.0
209;1;ESO;B;112;3;11;1;5.0;1.0
202;1;ESO;B;112;1;11;2;7.0;0.7999999999999998
202;1;ESO;B;112;2;11;1;7.0;2.0
202;1;ESO;B;112;3;11;0;7.0;2.8000000000000007
332;3;ESO;A;131;1;13;5;5.0;2.3
332;3;ESO;A;131;2;13;4;5.0;2.0
332;3;ESO;A;131;3;13;4;5.0;2.3000000000000007
325;3;ESO;A;131;1;13;8;4.0;1.3000000000000007
325;3;ESO;A;131;2;13;5;5.0;1.0
325;3;ESO;A;131;3;13;5;5.0;2.3
427;4;ESO;A;141;1;12;0;7.0;1.5500000000000007
427;4;ESO;A;141;2;12;0;8.0;2.0
427;4;ESO;A;141;3;12;0;7.5;1.5500000000000007
41;1;BAC;B;212;1;10;1;7.5;1.1500000000000004
41;1;BAC;B;212;2;10;2;6.5;3.1000000000000005
41;1;BAC;B;212;3;10;1;7.5;3.0500000000000007
465;4;ESO;C;143;1;12;8;2.0;4.550000000000001
465;4;ESO;C;143;2;13;11;1.0;2.3000000000000007
465;4;ESO;C;143;3;18;16;1.0;2.0
438;4;ESO;B;142;1;12;3;5.0;2.1000000000000005
438;4;ESO;B;142;2;12;5;5.0;4.0
438;4;ESO;B;142;3;12;1;6.0;1.5500000000000007
300;2;ESO;C;123;1;12;1;5.0;0.5500000000000007
300;2;ESO;C;123;2;12;4;5.5;2.0
300;2;ESO;C;123;3;12;1;5.0;0.0
341;3;ESO;A;131;1;13;7;4.0;2.6000000000000005
341;3;ESO;A;131;2;13;9;4.0;2.0
341;3;ESO;A;131;3;13;5;5.0;2.0
425;4;ESO;A;141;1;12;2;6.0;1.0
425;4;ESO;A;141;2;7;2;6.0;3.3999999999999995
425;4;ESO;A;141;3;12;2;5.5;1.0
5;1;BAC;A;211;1;11;4;6.0;2.8000000000000007
5;1;BAC;A;211;2;11;4;5.0;2.6000000000000005
5;1;BAC;A;211;3;11;1;5.0;1.0
362;3;ESO;B;132;1;13;1;6.0;1.2999999999999998
362;3;ESO;B;132;2;13;2;7.0;2.3
362;3;ESO;B;132;3;13;0;7.0;2.3
363;3;ESO;A;131;1;13;7;4.0;2.3000000000000007
363;3;ESO;A;131;2;13;6;5.0;1.9000000000000004
363;3;ESO;A;131;3;13;3;5.0;1.2999999999999998
346;3;ESO;B;132;1;13;0;9.0;2.0
346;3;ESO;B;132;2;13;0;9.0;1.0
346;3;ESO;B;132;3;13;0;9.0;2.3
216;1;ESO;B;112;1;11;0;8.0;1.0
216;1;ESO;B;112;2;11;0;8.0;1.8000000000000007
216;1;ESO;B;112;3;11;0;8.0;1.8000000000000007
275;2;ESO;B;122;1;12;5;5.0;2.55
275;2;ESO;B;122;2;12;4;5.5;2.0
275;2;ESO;B;122;3;12;2;5.0;1.0
40;1;BAC;B;212;1;11;1;6.0;1.0
40;1;BAC;B;212;2;11;1;5.0;1.0
40;1;BAC;B;212;3;11;0;7.0;0.7999999999999998
25;1;BAC;A;211;1;11;4;6.0;2.0
25;1;BAC;A;211;2;11;5;5.0;2.0
25;1;BAC;A;211;3;11;4;5.0;3.6000000000000005
261;2;ESO;A;121;1;12;4;5.0;1.5500000000000007
261;2;ESO;A;121;2;12;5;5.0;2.0
261;2;ESO;A;121;3;12;2;5.0;1.1000000000000014
237;1;ESO;C;113;1;11;1;7.0;2.0
237;1;ESO;C;113;2;11;0;7.0;1.8000000000000007
237;1;ESO;C;113;3;11;0;8.0;2.0
376;3;ESO;B;132;1;13;5;5.0;2.0
376;3;ESO;B;132;2;13;4;5.0;1.3000000000000007
376;3;ESO;B;132;3;13;7;4.0;1.2999999999999998
331;3;ESO;A;131;1;13;6;5.0;2.0
331;3;ESO;A;131;2;13;4;6.0;2.3000000000000007
331;3;ESO;A;131;3;13;2;5.0;1.0
180;1;ESO;A;111;1;11;5;5.0;1.8000000000000007
180;1;ESO;A;111;2;11;4;5.0;3.8000000000000007
180;1;ESO;A;111;3;11;2;5.0;1.0
305;2;ESO;C;123;1;12;3;5.5;2.1000000000000005
305;2;ESO;C;123;2;12;2;5.0;1.5500000000000007
305;2;ESO;C;123;3;13;1;5.0;1.3000000000000007
263;2;ESO;A;121;1;12;1;6.0;3.0
263;2;ESO;A;121;2;12;2;6.0;2.5500000000000007
263;2;ESO;A;121;3;12;1;5.5;2.5500000000000007
345;3;ESO;A;131;1;13;1;6.0;2.0
345;3;ESO;A;131;2;13;0;7.0;1.0
345;3;ESO;A;131;3;13;0;7.0;2.3
49;1;BAC;B;212;1;11;0;6.0;1.7999999999999998
49;1;BAC;B;212;2;11;0;6.0;1.0
49;1;BAC;B;212;3;11;0;7.0;1.6000000000000005
387;3;ESO;C;133;1;13;7;4.0;2.0
387;3;ESO;C;133;2;13;4;5.0;1.3000000000000007
387;3;ESO;C;133;3;13;5;5.0;1.6000000000000005
365;3;ESO;B;132;1;13;1;6.0;2.0
365;3;ESO;B;132;2;13;1;6.0;3.0
365;3;ESO;B;132;3;13;0;6.0;1.3000000000000007
57;1;BAC;C;213;1;11;0;9.0;0.8000000000000007
57;1;BAC;C;213;2;11;0;9.0;1.0
57;1;BAC;C;213;3;11;0;9.0;1.0
313;3;ESO;A;131;1;13;4;5.0;1.6000000000000014
313;3;ESO;A;131;2;13;5;5.0;2.3000000000000007
313;3;ESO;A;131;3;14;2;5.0;0.05000000000000071
32;1;BAC;B;212;1;11;0;6.0;1.0
32;1;BAC;B;212;2;11;0;7.0;2.8000000000000007
32;1;BAC;B;212;3;11;0;7.0;1.7999999999999998
358;3;ESO;B;132;1;13;0;8.0;1.0
