Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR;med;std;S
462;4;ESO;C;143;1;12;6;4.5;1.5500000000000007;4.75;1.4222261679238197;1.5171063970610277
462;4;ESO;C;143;2;12;9;3.0;3.650000000000002;3.8333333333333335;2.2087978356535665;1.4451858789480823
462;4;ESO;C;143;3;13;2;5.0;1.0;5.461538461538462;1.2659242088545835;1.1972375015579317
67;1;BAC;C;213;1;10;10;3.0;1.1000000000000005;2.7;1.0593499054713802;1.2206072645530173
67;1;BAC;C;213;2;10;10;0.0;0.05000000000000071;0.3;0.6749485577105528;0.639031859650177
67;1;BAC;C;213;3;10;10;0.0;0.05000000000000071;0.2;0.42163702135578396;0.5004024235381879
193;1;ESO;A;111;1;11;3;5.0;1.7999999999999998;5.2727272727272725;1.1037127426019047;1.3421131789144003
193;1;ESO;A;111;2;11;3;5.0;0.7999999999999998;4.818181818181818;0.8738628975053029;1.1685184057430877
193;1;ESO;A;111;3;11;0;6.0;1.6000000000000005;6.0;0.7745966692414834;1.0670895187820832
179;1;ESO;A;111;1;11;1;6.0;1.0;6.2727272727272725;1.1037127426019047;1.3896811919839047
179;1;ESO;A;111;2;11;3;6.0;1.7999999999999998;5.636363636363637;1.2862913567871994;1.3667110520552042
179;1;ESO;A;111;3;11;1;6.0;1.0;5.7272727272727275;1.2720777563426766;1.3667110520552042
37;1;BAC;B;212;1;11;4;5.0;2.0;5.090909090909091;1.044465935734187;1.2945451658448959
37;1;BAC;B;212;2;11;2;5.0;1.0;5.454545454545454;1.6949121725703882;1.4681399390162087
37;1;BAC;B;212;3;11;1;6.0;2.0;6.0;1.5491933384829668;1.499030672979008
477;4;ESO;D;144;1;8;1;5.5;2.55;6.125;1.7268882005337975;1.6674619334292948
477;4;ESO;D;144;2;8;1;7.0;3.0;6.5;1.6035674514745464;1.3208883431493221
477;4;ESO;D;144;3;8;0;7.0;2.0;6.875;1.1259916264596033;1.3208883431493221
51;1;BAC;C;213;1;10;1;6.5;2.0;6.7;1.4181364924121764;1.4708084763221112
51;1;BAC;C;213;2;10;0;8.0;2.0500000000000007;7.4;1.3498971154211057;1.4708084763221112
51;1;BAC;C;213;3;10;0;7.5;2.0500000000000007;7.5;1.35400640077266;1.5047882836811908
259;2;ESO;A;121;1;12;4;5.0;2.1000000000000005;4.583333333333333;1.5642792899510296;1.5832584594204766
259;2;ESO;A;121;2;12;2;5.0;2.0;5.583333333333333;1.4433756729740645;1.539654447440098
259;2;ESO;A;121;3;12;3;5.0;1.5499999999999998;5.333333333333333;1.1547005383792515;1.286057336874379
206;1;ESO;B;112;1;11;0;7.0;0.0;6.818181818181818;0.4045199174779452;0.47413931305783735
206;1;ESO;B;112;2;11;2;6.0;2.4000000000000012;6.181818181818182;1.6011359603844901;1.4142790651247086
206;1;ESO;B;112;3;11;0;6.0;1.0;6.545454545454546;1.2135597524338357;1.4681399390162087
472;4;ESO;C;143;1;12;0;7.0;2.5500000000000007;7.25;1.4847711791873706;1.6326309271543518
472;4;ESO;C;143;2;12;0;6.0;2.1000000000000005;6.5;1.3142574813455419;1.5171063970610277
472;4;ESO;C;143;3;12;0;7.0;1.5499999999999998;7.25;1.2154310870109943;1.5171063970610277
269;2;ESO;A;121;1;12;3;5.5;2.1000000000000005;5.25;1.6025547785276542;1.660947433286918
269;2;ESO;A;121;2;12;4;5.0;1.5500000000000007;5.0;1.2792042981336627;1.4241299173467734
269;2;ESO;A;121;3;12;1;5.0;1.0;5.5;1.087114613009218;1.2342678660790765
420;4;ESO;A;141;1;12;0;6.5;2.55;6.666666666666667;1.3706888336846839;1.5454229031935938
420;4;ESO;A;141;2;12;0;7.0;1.5499999999999998;7.083333333333333;1.0836246694508318;1.4241299173467734
420;4;ESO;A;141;3;12;0;7.0;2.55;6.833333333333333;1.4668044012461754;1.5890269151739727
285;2;ESO;B;122;1;11;5;5.0;1.7999999999999998;4.181818181818182;1.4012980994907414;1.4142790651247086
285;2;ESO;B;122;2;11;4;5.0;1.0;4.454545454545454;1.1281521496355325;1.294545165844896
285;2;ESO;B;122;3;12;3;5.0;0.5499999999999998;4.583333333333333;1.2401124093721454;0.9830877585747855
230;1;ESO;C;113;1;11;0;9.0;1.7999999999999998;8.454545454545455;1.1281521496355325;1.3421131789144003
230;1;ESO;C;113;2;11;0;9.0;0.8000000000000007;8.909090909090908;0.7006490497453708;0.9949236325717752
230;1;ESO;C;113;3;11;0;9.0;1.0;9.090909090909092;0.9438798074485389;1.162225544921092
